INFO  - 2018-03-24 09:10:46.151; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2018-03-24 09:10:46.152; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=E:\mysite\solr-4.10.4\example\solr\collection1\conf
INFO  - 2018-03-24 09:10:46.155; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=E:\mysite\solr-4.10.4\example\solr\collection1\conf
INFO  - 2018-03-24 09:10:46.156; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2018-03-24 09:10:46.157; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2018-03-24 09:10:46.158; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2018-03-24 09:10:46.159; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=E:\mysite\solr-4.10.4\example\solr\collection1\conf
INFO  - 2018-03-24 09:10:46.161; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=E:\mysite\solr-4.10.4\example\solr\collection1\conf
INFO  - 2018-03-24 09:10:46.162; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2018-03-24 09:10:46.164; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2018-03-24 09:10:46.167; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2018-03-24 09:10:46.168; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2018-03-24 09:10:46.174; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2018-03-24 09:10:46.181; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2018-03-24 09:10:46.183; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: E:\mysite\solr-4.10.4\example\solr\collection1\conf\elevate.xml
INFO  - 2018-03-24 09:10:46.206; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2018-03-24 09:10:46.207; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@10f1306[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2018-03-24 09:10:46.208; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2018-03-24 09:10:46.212; org.apache.solr.servlet.SolrDispatchFilter; user.dir=E:\mysite\solr-4.10.4\example
INFO  - 2018-03-24 09:10:46.214; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2018-03-24 09:10:46.247; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2018-03-24 09:10:46.251; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=42 
INFO  - 2018-03-24 09:10:46.253; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2018-03-24 09:10:46.254; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2018-03-24 09:10:46.255; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
